seg,iter,div_round,nid,fit_cur,fit_best_global,fit_best_segment,improved,multi_visit,best_multi_fit
4,16,0,1,144.111,138.626,138.626,0,1,138.626
4,17,0,0,150.626,138.626,138.626,0,1,138.626
5,0,0,1,138.626,138.626,138.626,0,1,138.626
5,1,0,1,138.626,138.626,138.626,0,1,138.626
5,2,0,0,138.626,138.626,138.626,0,1,138.626
5,3,0,2,138.626,138.626,138.626,0,1,138.626
5,4,0,0,138.626,138.626,138.626,0,1,138.626
5,5,0,2,138.626,138.626,138.626,0,0,138.626
5,6,0,2,138.626,138.626,138.626,0,1,138.626
5,7,0,2,152.111,138.626,138.626,0,1,138.626
5,8,0,1,138.626,138.626,138.626,0,1,138.626
5,9,0,2,140.111,138.626,138.626,0,1,138.626
5,10,0,1,138.626,138.626,138.626,0,0,138.626
5,11,0,0,138.626,138.626,138.626,0,1,138.626
5,12,0,1,144.111,138.626,138.626,0,1,138.626
5,13,0,2,143,138.626,138.626,0,1,138.626
5,14,0,1,150.626,138.626,138.626,0,1,138.626
5,15,0,1,167.1,138.626,138.626,0,1,138.626
5,16,0,0,138.626,138.626,138.626,0,1,138.626
5,17,0,1,157.763,138.626,138.626,0,1,138.626
5,18,0,0,138.626,138.626,138.626,0,1,138.626
5,19,0,1,138.626,138.626,138.626,0,1,138.626
5,20,0,0,144.111,138.626,138.626,0,1,138.626
6,0,0,1,138.626,138.626,138.626,0,1,138.626
6,1,0,2,138.626,138.626,138.626,0,1,138.626
6,2,0,2,138.626,138.626,138.626,0,0,138.626
6,3,0,0,138.626,138.626,138.626,0,1,138.626
6,4,0,0,138.626,138.626,138.626,0,1,138.626
6,5,0,0,138.626,138.626,138.626,0,1,138.626
6,6,0,0,138.626,138.626,138.626,0,1,138.626
6,7,0,2,138.626,138.626,138.626,0,1,138.626
6,8,0,2,152.111,138.626,138.626,0,1,138.626
6,9,0,2,167.1,138.626,138.626,0,1,138.626
6,10,0,0,138.626,138.626,138.626,0,0,138.626
6,11,0,0,144.111,138.626,138.626,0,1,138.626
6,12,0,0,144.111,138.626,138.626,0,1,138.626
6,13,0,0,147.1,138.626,138.626,0,1,138.626
6,14,0,1,138.626,138.626,138.626,0,0,138.626
6,15,0,2,143,138.626,138.626,0,0,138.626
6,16,0,1,138.626,138.626,138.626,0,0,138.626
6,17,0,1,142.1,138.626,138.626,0,0,138.626
6,18,0,0,150.626,138.626,138.626,0,1,138.626
